date,source,facility_id,unit_id,street,city,state,postal_code,lat,lng,unit_label,width_ft,length_ft,height_ft,area_sqft,category,price,regular_price
2026-08-30,cubesmart,3829,d14a4b14-0961-4d00-ba71-33d8104836bf,2908 Monroe Rd,Charlotte,NC,28205,35.20391,-80.80577,10x11,10.0,11.0,8.0,110.0,medium,140.0,280.0
2026-08-30,cubesmart,3829,a42425af-6f19-4326-809b-cc1676371096,2908 Monroe Rd,Charlotte,NC,28205,35.20391,-80.80577,10x15,10.0,15.0,8.0,150.0,medium,177.0,354.0
2026-08-30,cubesmart,3829,9ade5594-7b72-4dca-8cd1-a3e520c3b96f,2908 Monroe Rd,Charlotte,NC,28205,35.20391,-80.80577,10x16,10.0,16.0,8.0,160.0,large,225.0,450.0
2026-08-30,cubesmart,3829,faeb6f59-2d3e-4439-a16b-a48782ea64d2,2908 Monroe Rd,Charlotte,NC,28205,35.20391,-80.80577,10x20,10.0,20.0,8.0,200.0,large,293.15,451.0
2026-08-30,cubesmart,3829,5309e815-a7d2-4bff-bb89-62e21c5fa108,2908 Monroe Rd,Charlotte,NC,28205,35.20391,-80.80577,10x20,10.0,20.0,8.0,200.0,large,304.0,608.0
2026-08-30,cubesmart,3829,cc8a1100-6e0c-4541-8d24-75f84543d711,2908 Monroe Rd,Charlotte,NC,28205,35.20391,-80.80577,10x22,10.0,22.0,8.0,220.0,large,253.0,506.0
2026-08-30,cubesmart,3829,60888e44-b4d4-42b3-9fb9-140c95bcde71,2908 Monroe Rd,Charlotte,NC,28205,35.20391,-80.80577,10x30,10.0,30.0,8.0,300.0,large,429.0,858.0
2026-08-30,cubesmart,3829,d47571cb-5eca-4934-b0b0-32ffbe936834,2908 Monroe Rd,Charlotte,NC,28205,35.20391,-80.80577,5x10,5.0,10.0,8.0,50.0,small,75.0,150.0
2026-08-30,cubesmart,3829,b4477e7e-337b-4b6d-85a3-fff67c3f54de,2908 Monroe Rd,Charlotte,NC,28205,35.20391,-80.80577,5x15,5.0,15.0,8.0,75.0,small,86.5,173.0
2026-08-30,cubesmart,3829,7cccc7ca-1a90-4760-9c12-ba9b9231de55,2908 Monroe Rd,Charlotte,NC,28205,35.20391,-80.80577,5x5,5.0,5.0,4.0,25.0,small,29.0,58.0
2026-08-30,cubesmart,3829,b789c1aa-a31e-4a25-99e0-4d37e0f997c6,2908 Monroe Rd,Charlotte,NC,28205,35.20391,-80.80577,5x5,5.0,5.0,8.0,25.0,small,50.5,101.0
2026-08-30,cubesmart,3829,ac305b26-b521-4dce-8c2a-bbd5103988c0,2908 Monroe Rd,Charlotte,NC,28205,35.20391,-80.80577,7.5x10,7.5,10.0,8.0,75.0,small,83.85,129.0
2026-08-30,cubesmart,3829,c9b36bd5-a016-4293-b1c9-c43b05c0a123,2908 Monroe Rd,Charlotte,NC,28205,35.20391,-80.80577,7.5x10,7.5,10.0,8.0,75.0,small,85.5,171.0
